id,category,conf,size
1a33888v,chair,0.7322264313697815,601
1a33888v,chair,0.6027044057846069,2252
1a33890v,cow,0.8551626801490784,23452
1a33891v,person,0.6910197138786316,188
1a33892v,person,0.9976243376731873,1751
1a33892v,person,0.9973114728927612,10024
1a33892v,person,0.9965782761573792,5235
1a33892v,person,0.9960737228393555,10425
1a33892v,person,0.9955779314041138,5623
1a33892v,person,0.988520622253418,5865
1a33892v,person,0.8851475715637207,3757
1a33893v,person,0.9990035891532898,36541
1a33893v,person,0.998599112033844,5858
1a33893v,person,0.9972297549247742,19176
1a33893v,person,0.995754599571228,23669
1a33893v,person,0.9845287203788757,18671
1a33894v,person,0.9991433620452881,38092
1a33894v,person,0.9990612864494324,39278
1a33894v,person,0.9975730776786804,59855
1a33894v,person,0.9954481720924377,25721
1a33894v,person,0.9947579503059387,13859
1a33894v,person,0.985461413860321,2984
1a33894v,skateboard,0.7115278840065002,8029
1a33894v,baseball bat,0.5358668565750122,23558
1a33895v,person,0.9968180656433105,89557
1a33895v,person,0.9962510466575623,83666
1a33895v,person,0.9950214624404907,75102
1a33895v,person,0.9942424893379211,90306
1a33895v,person,0.9892765283584595,77929
1a33895v,person,0.9885985851287842,53560
1a33895v,person,0.982721745967865,11329
1a33895v,person,0.9716402888298035,19350
1a33895v,person,0.9636713862419128,13052
1a33895v,tie,0.9311319589614868,6542
1a33895v,person,0.9261080622673035,12486
1a33895v,person,0.8681425452232361,10861
1a33895v,person,0.8679637312889099,20025
1a33895v,tie,0.7868923544883728,281
1a33895v,person,0.6872904896736145,8226
1a33895v,chair,0.6868080496788025,3676
1a33895v,person,0.678525447845459,19025
1a33895v,person,0.6636959910392761,6440
1a33895v,person,0.5498664975166321,6208
1a33896v,person,0.9973441958427429,81697
1a33896v,person,0.9952580332756042,26077
1a33896v,tie,0.9933006763458252,2693
1a33896v,person,0.9929526448249817,37807
1a33896v,person,0.9868599772453308,53825
1a33896v,tie,0.9844453930854797,2897
